"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","GENDER","GENDER_NAME","GENDER_CODE","GENDER_TYPE","GENDER_TYPECODE","GENDER_SORTORDER","C_AGE","C_AGE_NAME","C_AGE_CODE","C_AGE_TYPE","C_AGE_TYPECODE","C_AGE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2015","2015","2015","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",65086958,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32240e2d2092957697d0d200d20100",0,560
"2015","2015","2015","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"0","Total","0","Sex",1000,0,"1","Age 0 - 4","1","5 year age band",2000,1,"20100","Value",3971663,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32240e2d2092957697d0d1d20100",1,560
"2015","2015","2015","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"0","Total","0","Sex",1000,0,"6","Aged 20-24","6","5 year age band",2000,2,"20100","Value",4322965,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32240e2d2092957697d0d6d20100",2,560
"2015","2015","2015","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"0","Total","0","Sex",1000,0,"7","Aged 25-29","7","5 year age band",2000,3,"20100","Value",4376905,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32240e2d2092957697d0d7d20100",3,560
"2015","2015","2015","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"0","Total","0","Sex",1000,0,"8","Aged 30-34","8","5 year age band",2000,4,"20100","Value",4401832,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32240e2d2092957697d0d8d20100",4,560
"2015","2015","2015","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"0","Total","0","Sex",1000,0,"9","Aged 35-39","9","5 year age band",2000,5,"20100","Value",4125658,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32240e2d2092957697d0d9d20100",5,560
"2015","2015","2015","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"0","Total","0","Sex",1000,0,"10","Aged 40-44","10","5 year age band",2000,6,"20100","Value",4342199,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32240e2d2092957697d0d10d20100",6,560
"2015","2015","2015","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"0","Total","0","Sex",1000,0,"11","Aged 45-49","11","5 year age band",2000,7,"20100","Value",4668085,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32240e2d2092957697d0d11d20100",7,560
"2015","2015","2015","date",0,0,"2092957698","Great Britain","K03000001","countries",499,1,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",63232015,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32240e2d2092957698d0d200d20100",8,560
"2015","2015","2015","date",0,0,"2092957698","Great Britain","K03000001","countries",499,1,"0","Total","0","Sex",1000,0,"1","Age 0 - 4","1","5 year age band",2000,1,"20100","Value",3847115,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32240e2d2092957698d0d1d20100",9,560
"2015","2015","2015","date",0,0,"2092957698","Great Britain","K03000001","countries",499,1,"0","Total","0","Sex",1000,0,"6","Aged 20-24","6","5 year age band",2000,2,"20100","Value",4203471,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32240e2d2092957698d0d6d20100",10,560
"2015","2015","2015","date",0,0,"2092957698","Great Britain","K03000001","countries",499,1,"0","Total","0","Sex",1000,0,"7","Aged 25-29","7","5 year age band",2000,3,"20100","Value",4252712,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32240e2d2092957698d0d7d20100",11,560
"2015","2015","2015","date",0,0,"2092957698","Great Britain","K03000001","countries",499,1,"0","Total","0","Sex",1000,0,"8","Aged 30-34","8","5 year age band",2000,4,"20100","Value",4277217,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32240e2d2092957698d0d8d20100",12,560
"2015","2015","2015","date",0,0,"2092957698","Great Britain","K03000001","countries",499,1,"0","Total","0","Sex",1000,0,"9","Aged 35-39","9","5 year age band",2000,5,"20100","Value",4007252,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32240e2d2092957698d0d9d20100",13,560
"2015","2015","2015","date",0,0,"2092957698","Great Britain","K03000001","countries",499,1,"0","Total","0","Sex",1000,0,"10","Aged 40-44","10","5 year age band",2000,6,"20100","Value",4218623,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32240e2d2092957698d0d10d20100",14,560
"2015","2015","2015","date",0,0,"2092957698","Great Britain","K03000001","countries",499,1,"0","Total","0","Sex",1000,0,"11","Aged 45-49","11","5 year age band",2000,7,"20100","Value",4536178,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32240e2d2092957698d0d11d20100",15,560
"2015","2015","2015","date",0,0,"2092957699","England","E92000001","countries",499,2,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",54808676,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32240e2d2092957699d0d200d20100",16,560
